subject,stim,name,contact_deptevent,contact_party,contact_grouplunch,contact_singlelunch,contact_text,contact_email,contact,ios,wescale,sci1,sci2,rank
s01,a,1,1,1,1,0,0,0,3,2,2,2,2,2
s01,b,1,1,1,1,0,1,1,5,3,3,3,3,1
s01,c,1,1,1,1,0,0,1,4,2,2,2,2,3
s02,a,1,1,1,1,0,0,0,3,3,2,2,3,2
s02,b,1,1,1,1,0,1,1,5,3,2,2,3,1
s02,c,1,1,0,0,0,0,0,1,2,1,2,2,3
s03,a,1,1,1,1,0,0,1,4,3,2,2,2,3
s03,b,1,1,1,1,0,1,1,5,3,2,2,2,2
s03,c,1,1,1,1,0,1,1,5,4,3,3,4,1
s04,a,1,1,1,1,0,0,0,3,2,1,1,1,3
s04,b,1,1,1,1,0,0,0,3,3,2,2,2,1
s04,c,1,1,1,1,0,0,0,3,2,1,2,1,2
s05,a,1,1,1,1,0,1,1,5,6,6,6,6,3
s05,b,1,1,1,0,0,0,0,2,4,4,4,4,2
s05,c,1,1,1,0,0,0,0,2,2,2,2,2,1
s06,a,1,1,1,1,0,1,1,5,4,4,4,4,3
s06,b,1,1,1,1,1,1,1,6,4,4,4,4,1
s06,c,1,1,1,1,0,0,1,4,3,3,4,3,2
s07,a,1,1,1,1,0,0,1,4,4,4,4,4,1
s07,b,1,1,1,1,0,0,0,3,2,1,1,1,3
s07,c,1,1,1,1,0,0,0,3,2,2,1,1,2
s08,a,1,1,1,1,0,0,1,4,3,3,3,3,1
s08,b,1,1,1,0,0,0,0,2,2,1,1,1,2
s08,c,1,1,1,0,0,0,0,2,2,1,1,1,3
s09,a,1,1,1,1,0,0,0,3,5,4,4,4,1
s09,b,1,1,1,1,0,0,0,3,4,4,4,4,2
s09,c,1,1,1,1,0,0,0,3,3,3,3,3,3
s10,a,1,1,1,1,0,1,1,5,5,5,5,4,1
s10,b,1,1,1,1,0,0,1,4,4,4,4,4,2
s10,c,1,1,1,1,0,0,1,4,3,4,4,4,3
